[2026-01-13 00:41:44] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:44:45] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:47:46] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:50:47] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:53:48] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:56:49] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:59:50] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:02:53] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:05:52] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:08:53] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:11:54] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:14:55] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:17:56] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:20:57] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:23:58] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:26:59] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:30:00] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:33:01] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:36:02] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:39:03] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:42:04] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:45:05] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:48:06] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:51:07] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:54:08] temp=21.00°C, ip=10.129.8.25
[2026-01-13 01:57:09] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:00:12] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:03:11] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:06:12] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:09:13] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:12:14] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:15:15] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:18:16] temp=19.00°C, ip=10.129.8.25
[2026-01-13 02:21:17] temp=18.00°C, ip=10.129.8.25
[2026-01-13 02:24:18] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:27:19] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:30:20] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:33:21] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:36:22] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:39:23] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:42:24] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:45:25] temp=16.00°C, ip=10.129.8.25
[2026-01-13 02:48:26] temp=18.00°C, ip=10.129.8.25
[2026-01-13 02:51:27] temp=20.00°C, ip=10.129.8.25
[2026-01-13 02:54:28] temp=21.00°C, ip=10.129.8.25
[2026-01-13 02:57:29] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:00:32] temp=22.00°C, ip=10.129.8.25
[2026-01-13 03:03:31] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:06:32] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:09:33] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:12:34] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:15:34] temp=22.00°C, ip=10.129.8.25
[2026-01-13 03:18:35] temp=20.00°C, ip=10.129.8.25
[2026-01-13 03:21:36] temp=21.00°C, ip=10.129.8.25
[2026-01-13 03:24:37] temp=21.00°C, ip=10.129.8.25
